name,grades,score,ra,dec,ABmag_F444W,has_COWLS_counterpart,within_COWLS_footprint,code_COWLS
GSN_12789,XXUXXUXU,0,189.21862712,62.1765858,22.3069,False,False,
GSN_14949,XXXXXXXU,0,189.19149136,62.183612485,20.0963,False,False,
GSN_14952,XXUXXUUU,0,189.28596072,62.180859139,20.3818,False,False,
GSN_1614,XXUXXXXX,0,189.25622415,62.145015829,20.4873,False,False,
GSN_18213,XXUXXXXX,0,189.39250219,62.19130639,20.8565,False,False,
GSN_18226,XXXXXXXX,0,189.39251335,62.194352973,19.4411,False,False,
GSN_20511,XXUXXXXX,0,189.42067349,62.200123256,18.8208,False,False,
GSN_20626,XXXXXXXX,0,189.40437363,62.201357125,18.4999,False,False,
GSN_21219,XXUXXXXX,0,189.45893472,62.201632238,19.1395,False,False,
GSN_21513,XXUXUXXX,0,189.17480195,62.201504422,20.4814,False,False,
GSN_228,XXXXXXXX,0,189.2277544,62.134405452,20.0965,False,False,
GSN_25428,XXXXXXXX,0,189.20936204,62.211051802,20.909,False,False,
GSN_25488,XXXXXXXX,0,189.15682718,62.21138413,20.8448,False,False,
GSN_25702,XXXXXXXU,0,189.2094326,62.212730307,20.0786,False,False,
GSN_26035,XXUXXXXX,0,189.16637023,62.213894801,19.7151,False,False,
GSN_3026,XXXXXXXX,0,189.30317129,62.14756959,19.9588,False,False,
GSN_30567,XXXXXXXU,0,189.37621786,62.223940689,20.2559,False,False,
GSN_31889,XXXXXXXX,0,189.16038876,62.227506766,19.987,False,False,
GSN_31942,XXUXXUXX,0,189.38896679,62.227926707,19.949,False,False,
GSN_3341,XXXXXXXX,0,189.29295706,62.149623562,19.1471,False,False,
GSN_34084,XXXXXXXX,0,189.31815221,62.231403437,21.7718,False,False,
GSN_34379,XXUXUXXU,0,189.24744819,62.234665194,21.5327,False,False,
GSN_35757,XXXXXXXU,0,189.58171267,62.235350231,20.0421,False,False,
GSN_36533,XXXXXXXX,0,189.14065794,62.241942832,19.3666,False,False,
GSN_36737,XXXXXXXX,0,189.26219354,62.239892801,19.5219,False,False,
GSN_37080,XXXXXXXX,0,189.36122092,62.238583639,19.8938,False,False,
GSN_37410,XXXXXXXX,0,189.481993,62.251789798,17.2875,False,False,
GSN_38360,XXUXXXXX,0,189.49083213,62.241281111,19.9199,False,False,
GSN_38362,XXXXXXXX,0,189.2203426,62.245580205,18.6791,False,False,
GSN_38965,XXXXXXXX,0,189.07062658,62.243680429,19.2667,False,False,
GSN_39374,XXXXXXXX,0,189.38436875,62.242187407,20.611,False,False,
GSN_40013,XXXXXXXX,0,189.59668933,62.246828697,19.7001,False,False,
GSN_41304,XXXXXXXX,0,189.24968399,62.247213206,19.9158,False,False,
GSN_42037,XXXXXXXU,0,189.49496182,62.249529807,19.2936,False,False,
GSN_43472,XXXXXXXU,0,189.4159043,62.283813928,19.565,False,False,
GSN_43558,XXXXXXXX,0,189.10298229,62.252929284,19.1106,False,False,
GSN_4649,XXXXXXXX,0,189.42098687,62.153050945,19.7221,False,False,
GSN_4774,XXXXXXXX,0,189.42575344,62.15296115,20.1675,False,False,
GSN_47949,XXXXXXXX,0,189.09366663,62.262373895,19.5037,False,False,
GSN_4914,XXXXXXXX,0,189.23229148,62.154855533,19.4783,False,False,
GSN_49812,XXXXXUXX,0,189.46206715,62.266873293,18.8482,False,False,
GSN_50513,XXXXXXXX,0,189.30965935,62.266346885,20.2977,False,False,
GSN_51433,XXXXXXXU,0,189.00635578,62.269993603,19.536,False,False,
GSN_52110,XXXXXXXX,0,189.46970786,62.274500264,18.0473,False,False,
GSN_55904,XXXXXXXX,0,189.15505873,62.279439248,19.698,False,False,
GSN_58752,XXXXXXXX,0,189.3411653,62.285309345,20.64,False,False,
GSN_64404,XXXXXUXX,0,189.15865591,62.296595316,18.9017,False,False,
GSN_65957,XXXXXXXX,0,189.22009337,62.302149559,18.3644,False,False,
GSN_66338,XXXXXXXU,0,189.25630941,62.311849802,18.1454,False,False,
GSN_6702,XXXXXXXU,0,189.35334418,62.160709335,20.2601,False,False,
GSN_6904,XXXXXXXU,0,189.2026347,62.15895125,20.3426,False,False,
GSN_69438,XXUXXXXX,0,189.45465569,62.305696585,20.1926,False,False,
GSN_72760,XXXXXXXU,0,189.26430619,62.314324707,20.9164,False,False,
GSN_74879,XXXXXXXX,0,189.37382003,62.326299157,18.3909,False,False,
GSN_75898,XXXXXXXX,0,189.39165035,62.327040466,18.6205,False,False,
GSN_82832,XXXXXXXU,0,189.36341934,62.352145623,19.8983,False,False,
GSN_84428,XXXXXXXX,0,189.35138995,62.365957214,17.9787,False,False,
GSN_87211,XXXXXXXX,0,189.30640988,62.371173848,19.8573,False,False,
GSS_100206,XXXXXXXX,0,53.195231464,-27.753774771,20.2348,False,False,
GSS_100928,XXXXXXXX,0,53.109846378,-27.754257311,20.8857,False,False,
GSS_101292,XXXXXXXX,0,52.99450018,-27.750094451,20.0974,False,False,
GSS_103803,XXXXXXXX,0,53.040473302,-27.744923491,20.2681,False,False,
GSS_108157,XXUXXXXU,0,53.003737921,-27.73579491,20.2834,False,False,
GSS_110163,XXXXXXXX,0,53.05159877,-27.731555426,19.8825,False,False,
GSS_114181,XXXXXXXX,0,53.0046321,-27.725302966,19.8501,False,False,
GSS_116548,XXXXXXXX,0,53.048025725,-27.719738313,20.1025,False,False,
GSS_117442,XXXXXXXX,0,53.081640048,-27.717716581,20.1473,False,False,
GSS_118010,XXUXXXXU,0,53.150718421,-27.716182231,20.7922,False,False,
GSS_118149,XXXXXXXX,0,53.047136281,-27.709056616,19.2303,False,False,
GSS_118419,XXXXXXXX,0,53.142158308,-27.715355796,20.934,False,False,
GSS_119558,XXXXXXXX,0,53.197136394,-27.713182465,20.3456,False,False,
GSS_119639,XXXXXXXU,0,53.176497176,-27.710553806,19.3473,False,False,
GSS_120901,XXXXXXXX,0,53.090046009,-27.709208296,23.1506,False,False,
GSS_121750,XXUXXXXX,0,53.142715491,-27.706887229,20.3706,False,False,
GSS_122251,XXXXXXXX,0,53.190714321,-27.703963367,23.2057,False,False,
GSS_122305,XXXXXXXX,0,53.010956551,-27.700668902,20.3144,False,False,
GSS_122526,XXXXXXXX,0,53.015682988,-27.701727154,22.4257,False,False,
